piece,performer,year,measure.beat,tempo
mazurka17_4,Afanassiev,2001,1.2,62.5
mazurka17_4,Afanassiev,2001,1.3,68.96551724
mazurka17_4,Afanassiev,2001,2.1,73.17073171
mazurka17_4,Afanassiev,2001,2.2,72.28915663
mazurka17_4,Afanassiev,2001,2.3,71.42857143
mazurka17_4,Afanassiev,2001,3.1,70.58823529
mazurka17_4,Afanassiev,2001,3.2,63.15789474
mazurka17_4,Afanassiev,2001,3.3,49.18032787
mazurka17_4,Afanassiev,2001,4.1,47.24409449
mazurka17_4,Afanassiev,2001,4.2,45.97701149
mazurka17_4,Afanassiev,2001,4.3,45.97701149
mazurka17_4,Afanassiev,2001,5.1,57.69230769
mazurka17_4,Afanassiev,2001,5.2,72.28915663
mazurka17_4,Afanassiev,2001,5.3,77.92207792
mazurka17_4,Afanassiev,2001,6.1,67.41573034
mazurka17_4,Afanassiev,2001,6.2,82.19178082
mazurka17_4,Afanassiev,2001,6.3,81.08108108
mazurka17_4,Afanassiev,2001,7.1,76.92307692
mazurka17_4,Afanassiev,2001,7.2,75
mazurka17_4,Afanassiev,2001,7.3,66.66666667
mazurka17_4,Afanassiev,2001,8.1,65.2173913
mazurka17_4,Afanassiev,2001,8.2,72.28915663
mazurka17_4,Afanassiev,2001,8.3,65.2173913
mazurka17_4,Afanassiev,2001,9.1,69.76744186
mazurka17_4,Afanassiev,2001,9.2,73.17073171
mazurka17_4,Afanassiev,2001,9.3,75.94936709
mazurka17_4,Afanassiev,2001,10.1,65.93406593
mazurka17_4,Afanassiev,2001,10.2,62.5
mazurka17_4,Afanassiev,2001,10.3,58.82352941
mazurka17_4,Afanassiev,2001,11.1,61.2244898
mazurka17_4,Afanassiev,2001,11.2,76.92307692
mazurka17_4,Afanassiev,2001,11.3,61.8556701
mazurka17_4,Afanassiev,2001,12.1,57.14285714
mazurka17_4,Afanassiev,2001,12.2,64.51612903
mazurka17_4,Afanassiev,2001,12.3,54.68636974
mazurka17_4,Afanassiev,2001,13.1,58.66051833
mazurka17_4,Afanassiev,2001,13.2,73.17073171
mazurka17_4,Afanassiev,2001,13.3,62.5
mazurka17_4,Afanassiev,2001,14.1,64.51612903
mazurka17_4,Afanassiev,2001,14.2,67.41573034
mazurka17_4,Afanassiev,2001,14.3,49.18032787
mazurka17_4,Afanassiev,2001,15.1,53.42108984
mazurka17_4,Afanassiev,2001,15.2,72.78829226
mazurka17_4,Afanassiev,2001,15.3,60.4509835
mazurka17_4,Afanassiev,2001,16.1,59.40594059
mazurka17_4,Afanassiev,2001,16.2,69.76744186
mazurka17_4,Afanassiev,2001,16.3,66.66666667
mazurka17_4,Afanassiev,2001,17.1,55.04587156
mazurka17_4,Afanassiev,2001,17.2,71.42857143
mazurka17_4,Afanassiev,2001,17.3,69.76744186
mazurka17_4,Afanassiev,2001,18.1,65.2173913
mazurka17_4,Afanassiev,2001,18.2,58.82352941
mazurka17_4,Afanassiev,2001,18.3,38.41965414
mazurka17_4,Afanassiev,2001,19.1,59.40193967
mazurka17_4,Afanassiev,2001,19.2,54.63330027
mazurka17_4,Afanassiev,2001,19.3,63.82978723
mazurka17_4,Afanassiev,2001,20.1,56.07476636
mazurka17_4,Afanassiev,2001,20.2,53.12506273
mazurka17_4,Afanassiev,2001,20.3,41.50978915
mazurka17_4,Afanassiev,2001,21.1,55.29202802
mazurka17_4,Afanassiev,2001,21.2,66.66666667
mazurka17_4,Afanassiev,2001,21.3,82.19178082
mazurka17_4,Afanassiev,2001,22.1,58.82352941
